English Word,Grammatical Type,Pidgin Translation,Script,True Transcription,Skyhawk Orthography,set,pack
eight,numerical term,kwT,kwT,koohts,küṣ,number,grammar
"ejaculate, propel",verb,Jgy,JB,joi,joi,,
"eject, expel",verb,norD,nSD,nardz,narẓ,bathroom,home
elbow,noun,Jrp,Jrp,jurp,jurp,,
elder,noun,jrp,jrp,churp,čurp,,
electricity,noun,hwf,hwf,hoohf,hüf,,
electromagnetism,noun,QorT,QST,dtharts,ðarṣ,,
element,noun,saj,saj,sach,sač,,
elemental,noun,loD,",loD",lodz,loẓ,animal,
elephant,noun,YrH,YrH,yurkhh,yurħ,,
elevator,noun,Quv,Quv,dthuhv,ðuv,,
eleven,numerical term,xoy,xZ,shii,šī,number,grammar
elf,noun,Jol,JO,jall,jol,,
"elixir, potion",noun,nalm,nAm,nalm,nalm,,
ellipse,noun,Tglq,TGq,tsohlth,ṣōlθ,,
elm,noun,Wrq,Wrq,wurth,wurθ,,
emerald (color),compound noun,qol su saw,qO su sC,thall s'sauw,θol sᵘsow,,
"emergency, urgency",noun,salx,sAx,salsh,salš,,
emit,verb,zoJ,zoJ,zoj,zoj,,
emotion,noun,Rilp,RIp,rilp,rilp,,
empathize,verb,zolm,zOm,zallm,zolm,,
empathy,compound noun,nuzolm,nuzOm,n'zallm,nᵘzolm,,
empire,noun,hgln,hGn,hohln,hōln,,
"employee, staff",noun,nuX,nuX,nuhzh,nuž,,
employment,noun,jorx,jSx,charsh,čarš,,
empty,verb,molj,mOj,mallch,molč,,
emu,noun,Rek,Rek,rehk,rek,,
encourage,verb,jirN,jVN,cheerng,čērŋ,,
encrypt,verb,qgyT,qBT,thoits,θoiṣ,,
encyclopedia,noun,pip,pip,pihp,pip,,
end,noun,Hawx,HCx,khhauwsh,ħowš,,
"endurance, stamina",noun,zap,zap,zap,zap,,
"endure, withstand",verb,Rgr,Rb,roar,rōr,,
enemy,noun,Hi,Hi,khhih,ħi,,
energy (kinetic),noun,Rglz,RGz,rohlz,rōlz,,
energy (potential),noun,Dez,Dez,dzehz,ẓez,,
energy (spiritual),noun,pglD,pGD,pohldz,pōlẓ,,
engine,noun,lcz,",lcz",luoz,løz,science,
"enjoy, like",verb,qolN,qON,thallng,θolŋ,,
"enough, sufficiency",noun,Yelx,YEx,yelsh,yelš,,
entertainment,noun,Rup,Rup,ruhp,rup,,
entropy,noun,QilX,QIX,dthilzh,ðilž,,
"envelop, un-birth",verb,fcq,fcq,fuoth,føθ,,
envelope,compound noun,nufcqsr,nufcqsr,n'fuoth-sur,nᵘføθ-sur,,
envy,noun,lel,",lE",lel,lel,emotion,
envy,verb,WirJ,WVJ,weerj,wērj,,
equality,compound noun,nuQawJy,nuQCJy,n'dthauw-jee,nᵘðow-jē,,
equal-to (in quantity or quality),compound preposition,QwXr,QwXr,dthooh-zhur,ðü-žur,,
equation,noun,Wol,WO,wall,wol,,
equilibrium,noun,zilT,zIT,zilts,zilṣ,,
equipment,noun,huD,huD,huhdz,huẓ,,
"equitability, fairness",noun,Qgw,Qg,dthohw,ðō,,
era,noun,xgwQ,xgQ,shohwdth,šōð,,
"erase, snuff",verb,Xrf,Xrf,zhurf,žurf,,
ermine,noun,xcp,xcp,shuop,šøp,,
"err, fail-to",verb,muq,muq,muhth,muθ,,
"error, mistake",noun,Huj,Huj,khhuhch,ħuč,,
escalator,noun,kilj,kIj,kilch,kilč,,
escape,verb,seyp,sFp,sayp,sāp,,
escort,verb,Jir,JV,jeer,jēr,,
esophagus,noun,huJ,huJ,huhj,huj,,
"espionage, infiltration",noun,pwQ,pwQ,poohdth,püð,,
"essence, nature",noun,jwm,jwm,choohm,čüm,,
establish,verb,Nor,NS,ngar,ŋar,,
"esteem, honor",noun,puD,puD,puhdz,puẓ,,
"etch, scratch",verb,Qrm,Qrm,dthurm,ðurm,,
"ethics, morality",noun,hawm,hCm,hauwm,howm,,
"ethnicity, race",noun,qaQ,qaQ,thadth,θað,,
Europe,proper noun,kuJolv,kuJOv,k'jallv,kᵘjolv,,
"evaluate, judge",verb,Qer,QP,dthair,ðār,,
event,noun,Hgys,HBs,khhois,ħois,,
evergreen (tree),noun,voyv,vZv,viiv,vīv,,
evil,noun,TaD,TaD,tsadz,ṣaẓ,,
evolution,noun,ferX,fPX,fairzh,fārž,,
exaggerate,verb,falf,fAf,falf,falf,,
"examine, study",verb,ngrX,nbX,noarzh,nōrž,,
excellence,compound noun,nuXy,nuXy,n'zhee,nᵘžē,,
exception,noun,NcQ,NcQ,nguodth,ŋøð,,
exclusive-or,conjunction,hwj,hwj,hoohch,hüč,preposition,grammar
"excuse, pardon",verb,me,me,meh,me,,
"excuse, reason",noun,fen,fen,fehn,fen,,
"exhaust, use-up",verb,Jorn,JSn,jarn,jarn,,
"exhibit, presentation",compound noun,nuRalf,nuRAf,n'ralf,nᵘralf,,
"exit, leave",verb,vox,vox,vosh,voš,,
"expand, grow, swell",verb,xwN,xwN,shoohng,šüŋ,,
"experiment, test",compound noun,Doyj,DZj,dziich,ẓīč,,
"experiment, test",verb,nuDoyj,nuDZj,n'dziich,nᵘẓīč,,
"expertise, skill",noun,qyq,qyq,theeth,θēθ,,
explain,verb,Hol,HO,khhall,ħol,,
explanation,compound noun,nuHol,nuHO,n'khhall,nᵘħol,,
explode,verb,joy,jZ,chii,čī,,
explore,verb,salm,sAm,salm,salm,,
explosion,compound noun,nujoy,nujZ,n'chii,nᵘčī,,
exponent,compound noun,nuQr,nuQr,n'dthur,nᵘður,,
express-feeling,verb,prx,prx,pursh,purš,,
"exterior, outside",compound noun,nulwj,nulwj,n'loohch,nᵘlüč,,
"extinction, genocide",noun,JelJ,JEJ,jelj,jelj,,
extreme,unary suffix,Xy,Xy,zhee,žē,unary suffix,grammar
eye,noun,Xrk,Xrk,zhurk,žurk,,
eyebrow,noun,vgwv,vgv,vohwv,vōv,,
eyelash,noun,vyv,vyv,veev,vēv,,
eyelid,noun,kuN,kuN,kuhng,kuŋ,,
fabric,noun,qwv,qwv,thoohv,θüv,,
face,noun,krz,krz,kurz,kurz,,
fact,noun,kir,kV,keer,kēr,,
factory,noun,xgr,xb,shoar,šōr,,
"fairie, sprite",noun,nif,nif,nihf,nif,,
"faith, trust",compound noun,nusim,nusim,n'sihm,nᵘsim,,
falcon,noun,Tcv,Tcv,tsuov,ṣøv,,
fallacy,noun,sglJ,sGJ,sohlj,sōlj,,
falling,noun,xaw,xC,shauw,šow,,
fame,noun,mgym,mBm,moim,moim,,
family,noun,pgyz,pBz,poiz,poiz,,
fan (fanatic),noun,lgl,",lG",lohl,lōl,,
fan (wind),noun,WoyT,WZT,wiits,wīṣ,,
fandom,noun,ngwx,ngx,nohwsh,nōš,,
"fang, tooth (sharp)",noun,melj,mEj,melch,melč,,
far-apart,preposition,Rij,Rij,rihch,rič,preposition,grammar
farm,noun,zuN,zuN,zuhng,zuŋ,,
"farm, raise (pets, kids, food)",verb,Wom,Wom,wom,wom,,
fascination,noun,jilQ,jIQ,childth,čilð,,
"fasten, secure, tie",verb,JeJ,JeJ,jehj,jej,,
fastener,compound noun,nuJeJ,nuJeJ,n'jehj,nᵘjej,,
fat (substance),noun,pcn,pcn,puon,pøn,,
faucet,noun,moyT,mZT,miits,mīṣ,,
fear,noun,Tal,TA,tsal,ṣal,,
feather,noun,xrH,xrH,shurkhh,šurħ,,
February,noun,vuf,vuf,vuhf,vuf,,
feces,noun,xils,xIs,shils,šils,,
"feed (food), eat (food)",verb,We,We,weh,we,food,
feel-emotion,verb,sw,sw,sooh,sü,,
feline,noun,maw,mC,mauw,mow,,
"felt, velvet",noun,vgwz,vgz,vohwz,vōz,,
female,noun,peq,peq,pehth,peθ,,
female-bias (attract to females),noun,peN,peN,pehng,peŋ,,
"feminine beauty, prettiness",noun,qoy,qZ,thii,θī,,
femininity,noun,qeX,qeX,thehzh,θež,,
fence,noun,hawj,hCj,hauwch,howč,,
fennec,noun,xorf,xSf,sharf,šarf,,
"feral-ity, wildness",noun,vim,vim,vihm,vim,,
fern,noun,naln,nAn,naln,naln,,
ferret,noun,zgyN,zBN,zoing,zoiŋ,,
"fertility, potency",noun,vils,vIs,vils,vils,,
fetus,noun,fgyQ,fBQ,foidth,foið,,
few,compound noun,vulHy,vUHy,vul-khhee,vul-ħē,,
"fiber, strand, thread",noun,moy,mZ,mii,mī,,
fiction,noun,filj,fIj,filch,filč,,
fidelity,noun,nglv,nGv,nohlv,nōlv,,
field (of plants),noun,Ngyx,NBx,ngoish,ŋoiš,,
"field, manifold (geometric)",noun,ngyD,nBD,noidz,noiẓ,,
fifteen,numerical term,qgw,qg,thohw,θō,number,grammar
file,noun,nglm,nGm,nohlm,nōlm,,
"file, put-away",verb,DgwX,DgX,dzohwzh,ẓōž,,
fill,verb,mol,mO,mall,mol,,
"filter, screen, sift",verb,Yern,YPn,yairn,yārn,,
"filter, shade (covering)",compound noun,nuYernsr,nuYPnsr,n'yairn-sur,nᵘyārn-sur,,
"filth, garbage, trash, waste",noun,vyH,vyH,veekhh,vēħ,,
fin,noun,jgrp,jbp,choarp,čōrp,,
"finalize, wrap-up",verb,Dgr,Db,dzoar,ẓōr,,
finch,noun,Rgyf,RBf,roif,roif,,
"find, locate",verb,ngyf,nBf,noif,noif,,
finger,noun,Qgrk,Qbk,dthoark,ðōrk,,
fingernail (dull),noun,lyf,",lyf",leef,lēf,body,
"fire, flame",noun,mgwf,mgf,mohwf,mōf,,
"fire, lay-off (end employment)",verb,Wis,Wis,wihs,wis,,
firmness,noun,Ngyf,NBf,ngoif,ŋoif,,
first in order (etc.),compound noun,QuRw,QuRw,dth'rooh,ðᵘrü,,
fish,noun,ka,ka,ka,ka,,
"fissure, ravine",noun,xolk,xOk,shallk,šolk,,
fist,noun,kaln,kAn,kaln,kaln,,
fit (be compatible with),verb,folq,fOq,fallth,folθ,,
five,numerical term,Ygw,Yg,yohw,yō,number,grammar
flag,noun,jorq,jSq,charth,čarθ,,
flamingo,noun,Yawv,YCv,yauwv,yowv,,
flank,verb,hulf,hUf,hulf,hulf,,
flap,verb,moyv,mZv,miiv,mīv,,
flatness,noun,xrx,xrx,shursh,šurš,,
"flat-pan, tray",noun,prp,prp,purp,purp,,
flatter,verb,Hiq,Hiq,khhihth,ħiθ,,
flatulence,noun,palT,pAT,palts,palṣ,,
"flaw, oversight",noun,Hrx,Hrx,khhursh,ħurš,,
flea,noun,jilz,jIz,chilz,čilz,,
flee-from,verb,zglQ,zGQ,zohldth,zōlð,,
"flesh, meat",noun,kelT,kET,kelts,kelṣ,food,
flexibility,noun,Rorx,RSx,rarsh,rarš,,
"flicker, twinkle",noun,sil,sI,sil,sil,,
flight,noun,laf,",laf",laf,laf,,
"flip, invert",verb,Herp,HPp,khhairp,ħārp,,
flipper,noun,Drz,Drz,dzurz,ẓurz,body,
floating,noun,Dwk,Dwk,dzoohk,ẓük,,
flood,noun,vwk,vwk,voohk,vük,,
floor,noun,Wgyk,WBk,woik,woik,,
floss (dental),noun,mulj,mUj,mulch,mulč,bathroom,home
flour,noun,jen,jen,chehn,čen,,
flower,noun,TorJ,TSJ,tsarj,ṣarj,,
flu,noun,jgwq,jgq,chohwth,čōθ,,
focal-point,noun,Doln,DOn,dzalln,ẓoln,,
fog,noun,xef,xef,shehf,šef,,
folder,noun,nulf,nUf,nulf,nulf,,
follow,verb,Roq,Roq,roth,roθ,,
"fondle, grasp",verb,qulX,qUX,thulzh,θulž,,
food,noun,Ygr,Yb,yoar,yōr,food,
"fool, trick",verb,nilq,nIq,nilth,nilθ,,
"foot, paw (locomotor)",noun,lils,",lIs",lils,lils,,
football,noun,xalz,xAz,shalz,šalz,,
force,compound noun,numglk,numGk,n'mohlk,nᵘmōlk,,
"force, pry",verb,mglk,mGk,mohlk,mōlk,,
forearm,noun,Wglj,WGj,wohlch,wōlč,,
foreground,noun,for,fS,far,far,,
forehead,noun,Yirj,YVj,yeerch,yērč,,
foreigner,noun,Waf,Waf,waf,waf,,
foresight,noun,suf,suf,suhf,suf,,
foreskin,noun,Jirx,JVx,jeersh,jērš,,
forest,noun,XaN,XaN,zhang,žaŋ,,
forest green,compound noun,qol su feJ,qO su feJ,thall s'fehj,θol sᵘfej,,
forget,verb,Yyq,Yyq,yeeth,yēθ,,
forgive,verb,jgr,jb,choar,čōr,,
fork,noun,frf,frf,furf,furf,,
form,verb,serf,sPf,sairf,sārf,,
"formal-dress, tuxedo",noun,ferk,fPk,fairk,fārk,,
formality,noun,valx,vAx,valsh,valš,,
"format, organize, sort",verb,Qoyf,QZf,dthiif,ðīf,,
four,numerical term,kwx,kwx,koohsh,küš,number,grammar
fourteen,numerical term,puX,puX,puhzh,puž,number,grammar
fox,noun,xgy,xB,shoi,šoi,,
frame,noun,hop,hop,hop,hop,,
freckle,noun,qors,qSs,thars,θars,,
"freedom, independence",noun,noyX,nZX,niizh,nīž,,
freezer,noun,vgwN,vgN,vohwng,vōŋ,,
frequency,noun,Tux,Tux,tsuhsh,ṣuš,,
freshness,noun,Reyf,RFf,rayf,rāf,,
Friday,noun,YawD,YCD,yauwdz,yowẓ,,
friend,noun,lilq,",lIq",lilth,lilθ,social,
frill,noun,helv,hEv,helv,helv,,
frog,noun,Deyq,DFq,dzayth,ẓāθ,animal,
from-source,preposition,pwj,pwj,poohch,püč,preposition,grammar
front-facing,compound noun,nuJr,nuJr,n'jur,nᵘjur,,
"frost, paint, smear",verb,zerx,zPx,zairsh,zārš,,
fruit,noun,hgyD,hBD,hoidz,hoiẓ,,
fruit fly,noun,jcH,jcH,chuokhh,čøħ,,
fry,verb,qyQ,qyQ,theedth,θēð,,
fuchsia,compound noun,Hix su qum,Hix su qum,khhihsh s'thuhm,ħiš sᵘθum,,
"fuel, gas (fuel)",noun,sij,sij,sihch,sič,science,
fullness,noun,molk,mOk,mallk,molk,,
funeral,noun,Noyn,NZn,ngiin,ŋīn,,
fungus,noun,Tilf,TIf,tsilf,ṣilf,,
fur,noun,mgrf,mbf,moarf,mōrf,,
fuse-together,verb,lirD,",lVD",leerdz,lērẓ,,
"futility, pointlessness",noun,fgwp,fgp,fohwp,fōp,,
future,verb prefix,fu,fu,fuh,fu,verb prefix,grammar
future-again,verb prefix,fuN,fuN,fuhng,fuŋ,verb prefix,grammar
future-beginning,verb prefix,fuz,fuz,fuhz,fuz,verb prefix,grammar
future-ceasing,verb prefix,fuk,fuk,fuhk,fuk,verb prefix,grammar
future-continuously,verb prefix,fux,fux,fuhsh,fuš,verb prefix,grammar
future-repeatedly,verb prefix,fuT,fuT,fuhts,fuṣ,verb prefix,grammar
fuzziness,noun,Jwj,Jwj,joohch,jüč,,
"gadget, machine",noun,xgrs,xbs,shoars,šōrs,,
Gaia,proper noun,kukoy,kukZ,k'kii,kᵘkī,,
galaxy,noun,juj,juj,chuhch,čuč,,
galloping,noun,jaj,jaj,chach,čač,,
game,noun,xglD,xGD,shohldz,šōlẓ,,
gamma rays,noun,velp,vEp,velp,velp,,
garden,noun,lwk,",lwk",loohk,lük,outside,home
gargoyle,noun,veyk,vFk,vayk,vāk,,
garlic,noun,Qoj,Qoj,dthoch,ðoč,,
gas (state of matter),noun,hglx,hGx,hohlsh,hōlš,,
gate,noun,Won,Won,won,won,,
gazelle,noun,hirz,hVz,heerz,hērz,,
gelatin,noun,fgyJ,fBJ,foij,foij,food,
gemstone,noun,vgyk,vBk,voik,voik,,
gender,noun,Ygwk,Ygk,yohwk,yōk,,
generate,verb,sawk,sCk,sauwk,sowk,,
geology,noun,Wglp,WGp,wohlp,wōlp,,
geometry,noun,jil,jI,chil,čil,,
gerbil,noun,Xor,XS,zhar,žar,,
"germ, infectious agent",compound noun,nuqwjsr,nuqwjsr,n'thoohch-sur,nᵘθüč-sur,,
gesture,verb,kgw,kg,kohw,kō,,
"ghost, soul, spirit",noun,xolv,xOv,shallv,šolv,,
ghoul,noun,xalf,xAf,shalf,šalf,,
giant,noun,Tem,Tem,tsehm,ṣem,,
gibbon,noun,qalD,qAD,thaldz,θalẓ,,
giggle,compound noun,Huky,Huky,khhuh-kee,ħu-kē,,
gills,noun,WoyN,WZN,wiing,wīŋ,,
giraffe,noun,Herk,HPk,khhairk,ħārk,,
giraffe-print,noun,lolv,",lOv",lallv,lolv,,
"give, send",verb,lux,",lux",luhsh,luš,,
give-birth,verb,moQ,moQ,modth,moð,,
gizzard,noun,JirN,JVN,jeerng,jērŋ,,
glacier,noun,qalz,qAz,thalz,θalz,,
gland,noun,fgwT,fgT,fohwts,fōṣ,,
glass (material),noun,qerk,qPk,thairk,θārk,,
gloss,noun,loQ,",loQ",lodth,loð,description,
glove,noun,hex,hex,hehsh,heš,,
"glow, illuminate, shine",verb,Xrs,Xrs,zhurs,žurs,,
glowstick,noun,qi,qi,thih,θi,,
gnat,noun,Yik,Yik,yihk,yik,,
gnome,noun,pglz,pGz,pohlz,pōlz,,
"goal, mission",noun,lgyj,",lBj",loich,loič,,
goat,noun,sals,sAs,sals,sals,,
goblin,noun,lgwN,",lgN",lohwng,lōŋ,animal,
gold,noun,loT,",loT",lots,loṣ,,
golem,noun,mir,mV,meer,mēr,,
"goo, ooze",noun,fuls,fUs,fuls,fuls,,
goodbye (the parting),compound noun,nuYawz,nuYCz,n'yauwz,nᵘyowz,,
goose,noun,hyN,hyN,heeng,hēŋ,,
gorilla,noun,Yerj,YPj,yairch,yārč,,
government,noun,Wirp,WVp,weerp,wērp,,
gown,noun,hck,hck,huok,høk,,
grain,noun,hgyQ,hBQ,hoidth,hoið,,
gram,noun,vilf,vIf,vilf,vilf,,
grammar,noun,Ngyj,NBj,ngoich,ŋoič,,
grandiosity,noun,WiH,WiH,wihkhh,wiħ,,
grand-offspring,noun,Toz,Toz,tsoz,ṣoz,,
grandparent,noun,sirX,sVX,seerzh,sērž,,
granule,noun,Halm,HAm,khhalm,ħalm,,
grape (color),compound noun,qum su feJ,qum su feJ,thuhm s'fehj,θum sᵘfej,,
grape (fruit),noun,seyz,sFz,sayz,sāz,,
graphite,noun,hrT,hrT,hurts,hurṣ,,
grass,noun,fgyD,fBD,foidz,foiẓ,nature,
grasshopper,noun,XrN,XrN,zhurng,žurŋ,,
"grate, grill",noun,jwp,jwp,choohp,čüp,,
grave,noun,Rgrp,Rbp,roarp,rōrp,,
gravity,noun,Wrj,Wrj,wurch,wurč,,
gravy,noun,qawj,qCj,thauwch,θowč,,
gray,compound noun,saw su feJ,sC su feJ,sauw s'fehj,sow sᵘfej,,
great,unary suffix,Ty,Ty,tsee,ṣē,unary suffix,grammar
greatness,compound noun,nuTy,nuTy,n'tsee,nᵘṣē,,
greed,noun,nox,nox,nosh,noš,,
green,noun,qol,qO,thall,θol,,
"greet, welcome",verb,Qix,Qix,dthihsh,ðiš,,
"greetings, hello",compound noun,nuQix,nuQix,n'dthihsh,nᵘðiš,,
grid,noun,lirz,",lVz",leerz,lērz,,
"grief, sadness, sorrow",noun,lgln,",lGn",lohln,lōln,emotion,
"grill, roast",verb,Twf,Twf,tsoohf,ṣüf,,
"grip, hold, restrict",verb,ha,ha,ha,ha,,
gristle,noun,Wan,Wan,wan,wan,,
groan (pain expression),noun,Yaw,YC,yauw,yow,,
grocery,noun,Toyp,TZp,tsiip,ṣīp,,
"groom, skritch",verb,RiJ,RiJ,rihj,rij,,
"grouchiness, grumpiness",noun,frk,frk,furk,furk,,
"ground, land",noun,noT,noT,nots,noṣ,,
gryphon,noun,kws,kws,koohs,küs,,
"guard, protect, shelter, shield",verb,koyj,kZj,kiich,kīč,,
"guard, shield",compound noun,nukoyjsr,nukZjsr,n'kiich-sur,nᵘkīč-sur,,
guardian,noun,salk,sAk,salk,salk,,
guest,noun,zgwx,zgx,zohwsh,zōš,,
guilt (criminal),noun,ham,ham,ham,ham,,
guilt (emotional),noun,lcN,",lcN",luong,løŋ,emotion,
guinea pig,noun,jip,jip,chihp,čip,,
gull,noun,Ygy,YB,yoi,yoi,,
gum (chewing),noun,pwX,pwX,poohzh,püž,,
gum (of teeth),noun,Xelk,XEk,zhelk,želk,,
gun,noun,Rak,Rak,rak,rak,,
"guts, insides",noun,Hif,Hif,khhihf,ħif,,
"gyrate, swing",verb,malk,mAk,malk,malk,,
"habit, ritual",noun,zoyf,zZf,ziif,zīf,,
hag (mythical),noun,xuf,xuf,shuhf,šuf,,
hagfish,noun,Wop,Wop,wop,wop,,
hail,noun,hgwk,hgk,hohwk,hōk,,
hair (body),noun,zglT,zGT,zohlts,zōlṣ,,
hair (groin area),noun,Deyz,DFz,dzayz,ẓāz,body,
hair (head),noun,jrz,jrz,churz,čurz,,
hair (underarm),noun,xoyp,xZp,shiip,šīp,,
hairbrush,noun,xirx,xVx,sheersh,šērš,bathroom,home
"half-and-half, satyr-form",noun,Nilm,NIm,ngilm,ŋilm,,
Halley's Comet,noun,halz,hAz,halz,halz,,
"halter-top, tank-top",noun,salj,sAj,salch,salč,,
hammer,noun,pol,pO,pall,pol,,
"hammer, pound",verb,Xok,Xok,zhok,žok,,
hamster,noun,vyf,vyf,veef,vēf,,
hand (manipulator),noun,nrD,nrD,nurdz,nurẓ,,
handgun,noun,Dorm,DSm,dzarm,ẓarm,,
handkerchief,noun,Rex,Rex,rehsh,reš,,
"handle, holder",noun,selk,sEk,selk,selk,,
handshake,noun,Woz,Woz,woz,woz,,
"handsome, masculine beauty",noun,niv,niv,nihv,niv,,
harass,verb,ziJ,ziJ,zihj,zij,,
hare,noun,kgy,kB,koi,koi,,
harmony,compound noun,nujw,nujw,n'chooh,nᵘčü,,
hat,noun,mgwn,mgn,mohwn,mōn,,
"hatch, lid",noun,piT,piT,pihts,piṣ,,
hatred,compound noun,YulJw,YUJw,yul-jooh,yul-jü,,
hawk,noun,Xglq,XGq,zhohlth,žōlθ,,
head,noun,Ni,Ni,ngih,ŋi,,
headache,noun,sors,sSs,sars,sars,,
"heal, repair, restore",verb,nilk,nIk,nilk,nilk,,
health,noun,Qulp,QUp,dthulp,ðulp,,
hear-about,verb,Tr,Tr,tsur,ṣur,,
heart,noun,solj,sOj,sallch,solč,,
hear-words,verb,foys,fZs,fiis,fīs,,
heat (aspect of temperature),noun,mgyn,mBn,moin,moin,bathroom,home
"heat, horniness, yiffiness (sex)",noun,zc,zc,zuo,zø,,
heaven,noun,Hax,Hax,khhash,ħaš,,
hedgehog,noun,jalk,jAk,chalk,čalk,,
heel (of shoe),noun,Wcn,Wcn,wuon,wøn,,
he-femme,noun,pon,pon,pon,pon,,
he-hermaphrodite,noun,qon,qon,thon,θon,,
height,noun,kix,kix,kihsh,kiš,,
hell,noun,xirs,xVs,sheers,šērs,,
helmet,noun,Xwk,Xwk,zhoohk,žük,,
hemp,noun,Dork,DSk,dzark,ẓark,clothing,
he-neuter,noun,Non,Non,ngon,ŋon,,
herb,noun,lwv,",lwv",loohv,lüv,food,
herbivore,noun,WrD,WrD,wurdz,wurẓ,,
here (this location),noun,xaT,xaT,shats,šaṣ,,
hero,noun,kern,kPn,kairn,kārn,,
heron,noun,kim,kim,kihm,kim,,
herringbone (pattern),noun,nwv,nwv,noohv,nüv,,
"hide, stow",verb,Hyx,Hyx,khheesh,ħēš,,
highway,noun,horz,hSz,harz,harz,,
hill,noun,hgls,hGs,hohls,hōls,,
hip,noun,Tgyx,TBx,tsoish,ṣoiš,,
hippopotamus,noun,paN,paN,pang,paŋ,,
hissing-sound,noun,sis,sis,sihs,sis,,
history,noun,mgrn,mbn,moarn,mōrn,,
"hit, strike",verb,pak,pak,pak,pak,,
"hoard, stash",noun,pgrH,pbH,poarkhh,pōrħ,,
"hobby, recreation",noun,halv,hAv,halv,halv,,
"hockey, puck",noun,RrX,RrX,rurzh,rurž,,
"hold-off, resist, ward",verb,mal,mA,mal,mal,,
hole,noun,jey,jF,chay,čā,,
holiday,noun,Ruf,Ruf,ruhf,ruf,,
holiness,noun,Rey,RF,ray,rā,,
"holster, sheath",noun,Jirk,JVk,jeerk,jērk,,
home,noun,mgyp,mBp,moip,moip,,
honesty,noun,sek,sek,sehk,sek,,
honey,noun,hun,hun,huhn,hun,,
hood,noun,qgrX,qbX,thoarzh,θōrž,,
hoof,noun,fyk,fyk,feek,fēk,,
hook,noun,qal,qA,thal,θal,,
"hoop, ring",noun,soy,sZ,sii,sī,,
hop,noun,fip,fip,fihp,fip,,
"hope, wish",verb,qoyk,qZk,thiik,θīk,,
horizontal,noun,Dun,Dun,dzuhn,ẓun,,
hormone,noun,WeT,WeT,wehts,weṣ,,
horse,noun,feq,feq,fehth,feθ,,
"hose, tube",noun,Twj,Twj,tsoohch,ṣüč,,
hospital,noun,fyN,fyN,feeng,fēŋ,body,
hotel,noun,naf,naf,naf,naf,bathroom,home
hot-tub,noun,JeD,JeD,jehdz,jeẓ,,
hour,noun,zr,zr,zur,zur,,
hourglass,noun,zgr,zb,zoar,zōr,,
house,noun,nyq,nyq,neeth,nēθ,,
housefly,noun,hym,hym,heem,hēm,,
however,noun suffix,jy,jy,chee,čē,noun suffix,grammar
howl (self expression),noun,haw,hC,hauw,how,,
hug,verb,Rgl,RG,rohl,rōl,,
hum,verb,fwX,fwX,foohzh,füž,,
human,noun,Tw,Tw,tsooh,ṣü,,
humanoid,compound noun,TwWul,TwWU,tsooh-wul,ṣü-wul,,
"humidity, water vapor",noun,paf,paf,paf,paf,,
humiliation,noun,lalf,",lAf",lalf,lalf,,
humility,noun,Qerq,QPq,dthairth,ðārθ,,
hummingbird,noun,NelX,NEX,ngelzh,ŋelž,,
"humor, wit",noun,Tilk,TIk,tsilk,ṣilk,,
hunger,noun,WrH,WrH,wurkhh,wurħ,food,
"hunt, predate",verb,fo,fo,fo,fo,,
hybrid,noun,Dgwp,Dgp,dzohwp,ẓōp,,
hydrogen,noun,WglT,WGT,wohlts,wōlṣ,,
hyena,noun,Heyf,HFf,khhayf,ħāf,,
hymen,noun,Rgrn,Rbn,roarn,rōrn,,
hyperbola,noun,Yuv,Yuv,yuhv,yuv,,
hypothesis,noun,herz,hPz,hairz,hārz,,
hyrax,noun,peym,pFm,paym,pām,,
ibis,noun,les,",les",lehs,les,animal,
ice,noun,fols,fOs,falls,fols,food,
ice cream,noun,XiT,XiT,zhihts,žiṣ,,
iceberg,noun,YirT,YVT,yeerts,yērṣ,,
ichthyosaur,noun,RirN,RVN,reerng,rērŋ,,
icing,noun,Xup,Xup,zhuhp,žup,,
"idea, thought",compound noun,nuvy Rw,nuvy Rw,n'vee rooh,nᵘvē rü,,
identical-to,compound preposition,QawJy,QCJy,dthauw-jee,ðow-jē,,
"identify, recognize",verb,kulf,kUf,kulf,kulf,,
identify-self (with),verb,naz,naz,naz,naz,,
"identity, self-identification",compound noun,nunaz,nunaz,n'naz,nᵘnaz,,
if,conjunction,fi,fi,fih,fi,preposition,grammar
if-only,conjunction,hw,hw,hooh,hü,preposition,grammar
if-then,conjunction,fij,fij,fihch,fič,preposition,grammar
"ignore, neglect, skip",verb,kwz,kwz,koohz,küz,,
iguana,noun,QrX,QrX,dthurzh,ðurž,,
illness,noun,nal,nA,nal,nal,,
illusion,noun,jiN,jiN,chihng,čiŋ,,
"image, picture",noun,viv,viv,vihv,viv,,
imagination,noun,TgyJ,TBJ,tsoij,ṣoij,,
immerse,verb,qgwz,qgz,thohwz,θōz,,
immigrant,noun,Dgrs,Dbs,dzoars,ẓōrs,,
immunity,noun,vaX,vaX,vazh,važ,,
imp,noun,pawn,pCn,pauwn,pown,,
imperative,pronoun,zu,zu,zuh,zu,pronoun,grammar
implode,verb,joyj,jZj,chiich,čīč,,
importance,noun,Ha,Ha,khha,ħa,,
"impossibility, paradox",noun,lyX,",lyX",leezh,lēž,,
impression (mental or social),noun,XrJ,XrJ,zhurj,žurj,,
impression (physical mark),noun,xrJ,xrJ,shurj,šurj,,
improve,verb,halk,hAk,halk,halk,,
