Pidgin,Grammatical Type,Script,True Transcription,Skyhawk Orthography,English Translation,set,pack
lrQ,noun,",lrQ",lurdth,lurð,cave,,
lu,noun prefix,",lu",luh,lu,none-of,noun prefix,grammar
luDr,compound noun,",luDr",l'dzur,lᵘẓur,nowhere,,
luDu,compound noun,",luDu",l'dzuh,lᵘẓu,nothing,,
lufr,compound noun,",lufr",l'fur,lᵘfur,nobody,,
luk,noun,",luk",luhk,luk,raccoon,zoology,science
lul,verb suffix,",lU",lul,lul,allowed,verb suffix,grammar
lulf,noun,",lUf",lulf,lulf,language,social,social
lulj,noun,",lUj",lulch,lulč,woodpecker,zoology,science
lulq,noun,",lUq",lulth,lulθ,doctor (non-medical),,
lulx,noun,",lUx",lulsh,lulš,clavicle,,
lum,noun,",lum",luhm,lum,ostrich,zoology,science
lup,noun,",lup",luhp,lup,aquatic-animal (gills only),zoology,science
luqe,compound noun,",luqe",l'theh,lᵘθe,never,,
lux,verb,",lux",luhsh,luš,"give, send",,
lw,preposition,",lw",looh,lü,within,preposition,grammar
lwD,noun,",lwD",loohdz,lüẓ,dry-earth,,
lwH,noun,",lwH",loohkhh,lüħ,"delusion, hallucination",,
lwj,preposition,",lwj",loohch,lüč,surrounding,preposition,grammar
lwk,noun,",lwk",loohk,lük,garden,outdoors,outdoors
lwm,verb,",lwm",loohm,lüm,override,,
lwq,noun,",lwq",loohth,lüθ,"city, town",,
lwQ,noun,",lwQ",loohdth,lüð,diplomacy,,
lws,verb,",lws",loohs,lüs,tempt,,
lwv,noun,",lwv",loohv,lüv,herb,food,
lwXr,compound preposition,",lwXr",looh-zhur,lü-žur,aligned-with,,
ly,verb,",ly",lee,lē,"be, do, take-action",,
lyDul,compound verb,",lyDU",lee-dzul,lē-ẓul,"depend-upon, need, require",,
lyDy,compound verb,",lyDy",lee-dzee,lē-ẓē,"desire, want",emotion,emotion
lyf,noun,",lyf",leef,lēf,fingernail (dull),anatomy,science
lyH,noun,",lyH",leekhh,lēħ,Tasmanian devil,zoology,science
lylul,compound verb,",lylU",lee-lul,lē-lul,allowed-to-be,,
lym,noun,",lym",leem,lēm,"predicament, situation",,
lymy,compound verb,",lymy",lee-mee,lē-mē,can-be,,
lynr,compound verb,",lynr",lee-nur,lē-nur,might-be,,
lyp,noun,",lyp",leep,lēp,kangaroo,zoology,science
lyq,verb,",lyq",leeth,lēθ,list,,
lyRaw,compound verb,",lyRC",lee-rauw,lē-row,be-prepared-for,,
lyRul,compound verb,",lyRU",lee-rul,lē-rul,attempt,,
lyX,noun,",lyX",leezh,lēž,"impossibility, paradox",,
lyxc,compound verb,",lyxc",lee-shuo,lē-šø,should-be,,
ma,unary suffix,ma,ma,ma,moderate,unary suffix,grammar
mak,verb,mak,mak,mak,polish (to make shine),,
mal,verb,mA,mal,mal,"hold-off, resist, ward",,
malk,verb,mAk,malk,malk,"gyrate, swing",,
mav,noun,mav,mav,mav,troll,,
maw,noun,mC,mauw,mow,feline,,
mawj,noun,mCj,mauwch,mowč,acid,,
maz,noun,maz,maz,maz,"metal-sound, resonance",,
mc,noun,mc,muo,mø,magnitude,,
mcf,verb,mcf,muof,møf,diet,,
mcH,verb,mcH,muokhh,møħ,curse,,
mcq,noun,mcq,muoth,møθ,knot,,
mcs,noun,mcs,muos,møs,pelican,,
mcz,noun,mcz,muoz,møz,"country, province",,
me,verb,me,meh,me,"excuse, pardon",,
mej,noun,mej,mehch,meč,mons,,
melj,noun,mEj,melch,melč,"fang, tooth (sharp)",,
meln,noun,mEn,meln,meln,light-bulb,,
melv,noun,mEv,melv,melv,coma,,
meq,noun,meq,mehth,meθ,"parable, paradigm",,
mer,noun,mP,mair,mār,today,,
mers,noun,mPs,mairs,mārs,apple,,
mex,noun,mex,mehsh,meš,moderation,,
mey,verb,mF,may,mā,"breed, multiply",,
meyf,noun,mFf,mayf,māf,pet,,
meyH,verb,mFH,maykhh,māħ,retaliate,,
meyj,verb,mFj,maych,māč,"divide, partition",,
meyk,noun,mFk,mayk,māk,"multiplicity, number-of-times",,
meyN,verb,mFN,mayng,māŋ,"juggle, multitask",,
mgl,noun,mG,mohl,mōl,treasure,,
mglf,noun,mGf,mohlf,mōlf,Mercury,,
mglj,noun,mGj,mohlch,mōlč,pencil,,
mglk,verb,mGk,mohlk,mōlk,"force, pry",,
mglm,noun,mGm,mohlm,mōlm,"piece, portion",,
mgln,noun,mGn,mohln,mōln,affix,,
mglT,noun,mGT,mohlts,mōlṣ,"doughnut, torus",,
mgr,verb,mb,moar,mōr,to-exponent,,
mgrD,noun,mbD,moardz,mōrẓ,narcissism,,
mgrf,noun,mbf,moarf,mōrf,fur,,
mgrH,noun,mbH,moarkhh,mōrħ,detail,,
mgrJ,verb,mbJ,moarj,mōrj,"sin, transgress",,
mgrj,verb,mbj,moarch,mōrč,to-root,,
mgrm,noun,mbm,moarm,mōrm,toothpaste,,
mgrn,noun,mbn,moarn,mōrn,history,,
mgrs,noun,mbs,moars,mōrs,sexual-arousal,,
mgrz,verb,mbz,moarz,mōrz,"bend, fold",,
mgw,noun,mg,mohw,mō,there (other location),,
mgwD,noun,mgD,mohwdz,mōẓ,capitol,,
mgwf,noun,mgf,mohwf,mōf,"fire, flame",,
mgwj,verb,mgj,mohwch,mōč,dislike,,
mgwn,noun,mgn,mohwn,mōn,hat,,
mgwq,noun,mgq,mohwth,mōθ,spatula,,
mgy,noun,mB,moi,moi,reciprocal,,
mgyk,noun,mBk,moik,moik,disease,,
mgym,noun,mBm,moim,moim,fame,,
mgyn,noun,mBn,moin,moin,heat (aspect of temperature),bathroom,home
mgyp,noun,mBp,moip,moip,home,,
mgyx,noun,mBx,moish,moiš,servant,,
mi,verb,mi,mih,mi,"add, combine, join",,
miD,verb,miD,mihdz,miẓ,"delay, stall",,
mij,verb,mij,mihch,mič,"remove, subtract",,
mil,verb,mI,mil,mil,solve,,
milD,noun,mID,mildz,milẓ,pile,,
milq,verb,mIq,milth,milθ,"tour, visit",,
mir,noun,mV,meer,mēr,golem,,
miX,noun,miX,mihzh,miž,lubricant (female or natural),,
mo,verb,mo,mo,mo,win (contest),,
mof,verb,mof,mof,mof,award,,
moj,verb,moj,moch,moč,lose (contest),,
mol,verb,mO,mall,mol,fill,,
molj,verb,mOj,mallch,molč,empty,,
molk,noun,mOk,mallk,molk,fullness,,
molT,noun,mOT,mallts,molṣ,list,,
mom,noun,mom,mom,mom,abdomen,anatomy,science
moN,noun,moN,mong,moŋ,mop,,
moQ,verb,moQ,modth,moð,give-birth,,
mor,verb,mS,mar,mar,blush,,
morf,noun,mSf,marf,marf,rib,,
mork,noun,mSk,mark,mark,prudence,,
morp,noun,mSp,marp,marp,railing,,
morq,noun,mSq,marth,marθ,sole (of shoe),,
morz,verb,mSz,marz,marz,"claim, take",,
moT,noun,moT,mots,moṣ,disguise,,
moy,noun,mZ,mii,mī,"fiber, strand, thread",,
moyf,noun,mZf,miif,mīf,cargo,,
moyH,noun,mZH,miikhh,mīħ,"chore, task",,
moyj,verb,mZj,miich,mīč,"blink, toggle",,
moyk,verb,mZk,miik,mīk,"slap, smack",,
moyp,noun,mZp,miip,mīp,osprey,,
moyT,noun,mZT,miits,mīṣ,faucet,,
moyv,verb,mZv,miiv,mīv,flap,,
moz,verb,moz,moz,moz,"dispose, throw-away, waste",,
mr,noun,mr,mur,mur,"joy, pleasure",,
mrf,noun,mrf,murf,murf,"aesthetics, beauty",,
mrJ,verb,mrJ,murj,murj,"pleasure-sexually, titillate",,
mrj,noun,mrj,murch,murč,unpleasantness,,
mrk,noun,mrk,murk,murk,ugliness,,
mrm,verb,mrm,murm,murm,mumble,,
mrN,noun,mrN,murng,murŋ,"comfort, happiness",,
mrn,verb,mrn,murn,murn,"cuddle, snuggle",,
mu,conjunction,mu,muh,mu,and,preposition,grammar
muD,verb,muD,muhdz,muẓ,steal,,
muj,conjunction,muj,muhch,muč,neither-nor,preposition,grammar
mul,noun suffix,mU,mul,mul,other,noun suffix,grammar
mulf,noun,mUf,mulf,mulf,sock,,
mulj,noun,mUj,mulch,mulč,floss (dental),bathroom,home
mulk,noun,mUk,mulk,mulk,oppression,,
mulm,noun,mUm,mulm,mulm,"catastrophe, disaster",,
muln,noun,mUn,muln,muln,magnet,,
mulN,noun,mUN,mulng,mulŋ,pond,,
mulQ,noun,mUQ,muldth,mulð,ogre,,
mulv,noun,mUv,mulv,mulv,classification,,
muq,verb,muq,muhth,muθ,"err, fail-to",,
muQ,noun,muQ,muhdth,muð,sponge,,
mw,preposition,mw,mooh,mü,owning,preposition,grammar
mwf,noun,mwf,moohf,müf,ungulate,,
mwj,preposition,mwj,moohch,müč,owned-by,preposition,grammar
mwk,verb,mwk,moohk,mük,"indicate, point",,
mwn,noun,mwn,moohn,mün,curl,,
mwq,noun,mwq,moohth,müθ,Tuesday,,
mwx,noun,mwx,moohsh,müš,catapult,,
my,verb suffix,my,mee,mē,"able, can",verb suffix,grammar
mym,noun,mym,meem,mēm,alien (extra-terrestrial),astronomy,science
myp,noun,myp,meep,mēp,modesty,,
myT,verb,myT,meets,mēṣ,"switch, transpose",,
Na,noun,Na,nga,ŋa,brain,anatomy,science
na,noun,na,na,na,cheek,,
naD,verb,naD,nadz,naẓ,"activate, play, turn-on",,
naf,noun,naf,naf,naf,hotel,buildings,home
naj,verb,naj,nach,nač,"place, put, set",,
Nal,noun,NA,ngal,ŋal,animation (physical),,
nal,noun,nA,nal,nal,illness,,
nalm,noun,nAm,nalm,nalm,"elixir, potion",,
naln,noun,nAn,naln,naln,fern,,
nalx,noun,nAx,nalsh,nalš,saltiness,,
NaN,noun,NaN,ngang,ŋaŋ,"range, stove (cooking)",,
Naq,noun,Naq,ngath,ŋaθ,alkali,chemistry,science
nav,verb,nav,nav,nav,"drip, drizzle",,
nawj,noun,nCj,nauwch,nowč,mind,,
nawk,verb,nCk,nauwk,nowk,tease,,
Nawp,verb,NCp,ngauwp,ŋowp,condemn,,
nawQ,noun,nCQ,nauwdth,nowð,cerebrospinal fluid,anatomy,science
Nawq,noun,NCq,ngauwth,ŋowθ,silverfish,,
nawz,noun,nCz,nauwz,nowz,inclusion,,
naz,verb,naz,naz,naz,identify-self (with),,
Ncj,noun,Ncj,nguoch,ŋøč,cape,,
Ncm,noun,Ncm,nguom,ŋøm,telephone,,
ncp,verb,ncp,nuop,nøp,limit,,
ncq,noun,ncq,nuoth,nøθ,easel,,
NcQ,noun,NcQ,nguodth,ŋøð,exception,,
NcT,noun,NcT,nguots,ŋøṣ,boxers (underwear),,
Ncx,verb,Ncx,nguosh,ŋøš,"make-appear, reveal",,
ncX,noun,ncX,nuozh,nøž,rosette (broken),,
Nef,noun,Nef,ngehf,ŋef,"artificial-item, fake-item",,
neJ,noun,neJ,nehj,nej,"doll, figurine",,
nej,noun,nej,nehch,neč,salad,,
nek,noun,nek,nehk,nek,shower,bathroom,home
nelH,noun,nEH,nelkhh,nelħ,aardvark,zoology,science
nelk,noun,nEk,nelk,nelk,"correctness, truth",,
neln,noun,nEn,neln,neln,accuracy,,
nels,noun,nEs,nels,nels,Thursday,,
nelv,noun,nEv,nelv,nelv,calendar,,
NelX,noun,NEX,ngelzh,ŋelž,hummingbird,,
nelx,verb,nEx,nelsh,nelš,"pull, yank",,
nelX,noun,nEX,nelzh,nelž,seed,,
nelz,noun,nEz,nelz,nelz,pus,,
Nem,noun,Nem,ngehm,ŋem,mode (arithmetic),,
Neq,noun,Neq,ngehth,ŋeθ,she-neuter,,
Ner,noun,NP,ngair,ŋār,lion,,
Nerm,noun,NPm,ngairm,ŋārm,pedestal,,
nerm,noun,nPm,nairm,nārm,sweat,,
Nerv,noun,NPv,ngairv,ŋārv,dignity,,
nerX,verb,nPX,nairzh,nārž,betray,,
nerz,noun,nPz,nairz,nārz,canary,zoology,science
Nerz,noun,NPz,ngairz,ŋārz,courage,,
neT,noun,neT,nehts,neṣ,"marriage, matehood",,
nex,noun,nex,nehsh,neš,arm (manipulator),anatomy,science
neX,noun,neX,nehzh,než,earwax,,
ney,noun,nF,nay,nā,running,,
neym,noun,nFm,naym,nām,"bathroom, latrine, restroom",bathroom,home
Neym,noun,NFm,ngaym,ŋām,dryer (hair),,
Neyn,noun,NFn,ngayn,ŋān,integrity,,
neys,noun,nFs,nays,nās,knob,,
neyT,verb,nFT,nayts,nāṣ,research,,
neyx,noun,nFx,naysh,nāš,lobster,,
neyX,noun,nFX,nayzh,nāž,science,,
ngl,verb,nG,nohl,nōl,insert,,
nglD,noun,nGD,nohldz,nōlẓ,mammal,,
nglf,noun,nGf,nohlf,nōlf,stork,,
Nglf,noun,NGf,ngohlf,ŋōlf,wraith,,
nglJ,noun,nGJ,nohlj,nōlj,catalog,,
nglj,noun,nGj,nohlch,nōlč,eagle,,
nglk,noun,nGk,nohlk,nōlk,sand,,
nglm,noun,nGm,nohlm,nōlm,file,,
ngln,verb,nGn,nohln,nōln,"intend, mean",,
nglq,noun,nGq,nohlth,nōlθ,dragon,,
nglv,noun,nGv,nohlv,nōlv,fidelity,,
nglx,noun,nGx,nohlsh,nōlš,ruins,,
nglX,noun,nGX,nohlzh,nōlž,stress (physical),,
nglz,noun,nGz,nohlz,nōlz,sample,,
ngrj,verb,nbj,noarch,nōrč,"replace, substitute",,
ngrm,noun,nbm,noarm,nōrm,second,,
Ngrm,noun,Nbm,ngoarm,ŋōrm,wand,,
ngrN,verb,nbN,noarng,nōrŋ,inject,,
ngrX,verb,nbX,noarzh,nōrž,"examine, study",,
ngw,noun,ng,nohw,nō,curve,,
Ngw,verb,Ng,ngohw,ŋō,"decrease, diminish",,
NgwH,noun,NgH,ngohwkhh,ŋōħ,androgyne-nullo,sexuality,social
Ngwm,noun,Ngm,ngohwm,ŋōm,caecilian,zoology,science
ngwn,verb,ngn,nohwn,nōn,console,,
ngwx,noun,ngx,nohwsh,nōš,fandom,,
ngwz,noun,ngz,nohwz,nōz,vanity,,
Ngy,noun,NB,ngoi,ŋoi,tar,,
ngyD,noun,nBD,noidz,noiẓ,"field, manifold (geometric)",,
ngyf,verb,nBf,noif,noif,"find, locate",,
Ngyf,noun,NBf,ngoif,ŋoif,firmness,,
ngyH,noun,nBH,noikhh,noiħ,snail,,
Ngyj,noun,NBj,ngoich,ŋoič,grammar,,
ngyj,noun,nBj,noich,noič,oven,,
ngyk,verb,nBk,noik,noik,"clone, copy, reproduce",,
Ngyq,verb,NBq,ngoith,ŋoiθ,vote,,
Ngys,noun,NBs,ngois,ŋois,palm (of hand or foot),,
ngyT,noun,nBT,noits,noiṣ,crater,,
Ngyv,noun,NBv,ngoiv,ŋoiv,tentacle,,
ngyx,verb,nBx,noish,noiš,"adjust, focus, tune",,
Ngyx,noun,NBx,ngoish,ŋoiš,field (of plants),,
ni,noun,ni,nih,ni,bathing-suit,,
Ni,noun,Ni,ngih,ŋi,head,,
niD,noun,niD,nihdz,niẓ,scale (rough plate or surface),,
nif,noun,nif,nihf,nif,"fairie, sprite",,
niJ,noun,niJ,nihj,nij,open-mindedness,,
nij,noun,nij,nihch,nič,"pimple, zit",,
nik,noun,nik,nihk,nik,statistics,,
nil,noun,nI,nil,nil,patch,,
nilH,verb,nIH,nilkhh,nilħ,resent,,
nilk,verb,nIk,nilk,nilk,"heal, repair, restore",,
Nilm,noun,NIm,ngilm,ŋilm,"half-and-half, satyr-form",,
niln,noun,nIn,niln,niln,"cube, hexahedron",,
nilq,verb,nIq,nilth,nilθ,"fool, trick",,
nilQ,noun,nIQ,nildth,nilð,pavement,,
NilT,verb,NIT,ngilts,ŋilṣ,confine,,
nilv,noun,nIv,nilv,nilv,"profanity, vulgarity",,
Nilv,noun,NIv,ngilv,ŋilv,typewriter,,
nilz,noun,nIz,nilz,nilz,silliness,,
Nim,verb,Nim,ngihm,ŋim,"preserve, save",,
niq,verb,niq,nihth,niθ,pay-for,,
nir,verb,nV,neer,nēr,"dominate, preside, rule",,
Nir,noun,NV,ngeer,ŋēr,placenta,,
nirf,verb,nVf,neerf,nērf,"adhere, paste, stick",,
nirj,noun,nVj,neerch,nērč,rat,,
nirp,verb,nVp,neerp,nērp,corrupt,,
nirs,verb,nVs,neers,nērs,decrypt,,
nirv,noun,nVv,neerv,nērv,vent,,
niv,noun,niv,nihv,niv,"handsome, masculine beauty",,
nivWul,compound noun,nivWU,nihv-wul,niv-wul,tomboy,,
niX,noun,niX,nihzh,niž,denim,,
No,noun,No,ngo,ŋo,coyness,,
no,noun,no,no,no,debris,,
noj,noun,noj,noch,noč,lamp,,
nok,noun,nok,nok,nok,cone,,
Nol,noun,NO,ngall,ŋol,underwater,,
nol,noun,nO,nall,nol,yellow,,
nol su feJ,compound noun,nO su feJ,nall s'fehj,nol sᵘfej,amber (color),colors,
nol su saw,compound noun,nO su sC,nall s'sauw,nol sᵘsow,lemon (color),,
nolj,noun,nOj,nallch,nolč,pest,,
nolp,noun,nOp,nallp,nolp,planet,,
nolq,verb,nOq,nallth,nolθ,"nudge, poke, tap",,
nolT,noun,nOT,nallts,nolṣ,kitchen,,
nom,noun,nom,nom,nom,nut (for screw),,
Non,noun,Non,ngon,ŋon,he-neuter,,
Nop,noun,Nop,ngop,ŋop,nutrition,,
noQ,noun,noQ,nodth,noð,simplicity,,
Nor,verb,NS,ngar,ŋar,establish,,
norD,verb,nSD,nardz,narẓ,"eject, expel",bathroom,home
norH,verb,nSH,narkhh,narħ,postpone,,
norJ,noun,nSJ,narj,narj,base (of operations),,
norj,noun,nSj,narch,narč,wheel,,
Norq,noun,NSq,ngarth,ŋarθ,parade,,
nos,verb,nos,nos,nos,"reverse, undo",,
noT,noun,noT,nots,noṣ,"ground, land",,
nox,noun,nox,nosh,noš,greed,,
NoX,noun,NoX,ngozh,ŋož,lightning,,
noX,noun,noX,nozh,nož,masculinity,,
Noyf,noun,NZf,ngiif,ŋīf,aphid,zoology,science
noyj,noun,nZj,niich,nīč,synthesizer (musical),,
noyn,noun,nZn,niin,nīn,deer,,
Noyn,noun,NZn,ngiin,ŋīn,funeral,,
noyN,noun,nZN,niing,nīŋ,trademark,,
Noyq,noun,NZq,ngiith,ŋīθ,layer,,
noyQ,noun,nZQ,niidth,nīð,rubber,,
noyv,noun,nZv,niiv,nīv,autonomy,,
noyx,noun,nZx,niish,nīš,"club, mace",,
noyX,noun,nZX,niizh,nīž,"freedom, independence",,
noyz,noun,nZz,niiz,nīz,cartilage,anatomy,science
nr,verb suffix,nr,nur,nur,might,verb suffix,grammar
Nr,noun,Nr,ngur,ŋur,meal,,
nrD,noun,nrD,nurdz,nurẓ,hand (manipulator),,
nrf,noun,nrf,nurf,nurf,rodent,,
Nrf,noun,Nrf,ngurf,ŋurf,self-control,,
nrk,noun,nrk,nurk,nurk,box,,
nrm,verb,nrm,nurm,nurm,"orbit, revolve",,
nrn,noun,nrn,nurn,nurn,sandwich,,
nrx,verb,nrx,nursh,nurš,"bar, prevent",,
nrX,verb,nrX,nurzh,nurž,seal,,
nrz,noun,nrz,nurz,nurz,candy,food,
Nrz,verb,Nrz,ngurz,ŋurz,lock,,
nu,noun prefix,nu,nuh,nu,indefinite,noun prefix,grammar
Nu,noun,Nu,nguh,ŋu,vulva,,
nuD,noun,nuD,nuhdz,nuẓ,omnivore,,
nuDan Rw,compound noun,nuDan Rw,n'dzan rooh,nᵘẓan rü,cycle,,
nuDoyj,compound noun,nuDZj,n'dziich,nᵘẓīč,"experiment, test",,
nuDy,compound noun,nuDy,n'dzee,nᵘẓē,desire,,
nuf,noun,nuf,nuhf,nuf,mitten,,
nufcqsr,compound noun,nufcqsr,n'fuoth-sur,nᵘføθ-sur,envelope,,
nufex,compound noun,nufex,n'fehsh,nᵘfeš,"trip, vacation",,
nufif,compound noun,nufif,n'fihf,nᵘfif,animosity,,
nufij,compound noun,nufij,n'fihch,nᵘfič,causality,,
nufilvsr,compound noun,nufIvsr,n'filv-sur,nᵘfilv-sur,projector,,
nufolq,compound noun,nufOq,n'fallth,nᵘfolθ,compatibility,,
nuforq,compound noun,nufSq,n'farth,nᵘfarθ,apology,,
nufosr,compound noun,nufosr,n'fo-sur,nᵘfo-sur,predator,,
nufosrJw,compound noun,nufosrJw,n'fo-sur-jooh,nᵘfo-surjü,prey,,
nufu,compound noun,nufu,n'fuh,nᵘfu,the future,,
nufulD,compound noun,nufUD,n'fuldz,nᵘfulẓ,schedule,,
nuha,compound noun,nuha,n'ha,nᵘha,"bondage, restriction",,
nuhcQsr,compound noun,nuhcQsr,n'huodth-sur,nᵘhøð-sur,"mate, spouse, husband, wife",,
nuHol,compound noun,nuHO,n'khhall,nᵘħol,explanation,,
nuHy,compound noun,nuHy,n'khhee,nᵘħē,inferiority,,
nuj,noun,nuj,nuhch,nuč,oxygen,chemistry,science
nuJ,verb,nuJ,nuhj,nuj,"chill, freeze",,
nuJeJ,compound noun,nuJeJ,n'jehj,nᵘjej,fastener,,
nuJerm,compound noun,nuJPm,n'jairm,nᵘjārm,assumption,,
nuJeyDsr,compound noun,nuJFDsr,n'jaydz-sur,nᵘjāẓ-sur,recording-device,,
nuJglj,compound noun,nuJGj,n'johlch,nᵘjōlč,submission,,
nujglzsr,compound noun,nujGzsr,n'chohlz-sur,nᵘčōlz-sur,"avatar, representation",,
nujoy,compound noun,nujZ,n'chii,nᵘčī,explosion,,
nujoysr,compound noun,nujZsr,n'chii-sur,nᵘčī-sur,"bomb, explosive",,
nuJr,compound noun,nuJr,n'jur,nᵘjur,front-facing,,
nuJrj,compound noun,nuJrj,n'jurch,nᵘjurč,away-facing,,
nuJul,compound noun,nuJU,n'jul,nᵘjul,negativity,,
nujw,compound noun,nujw,n'chooh,nᵘčü,harmony,,
nuJw,compound noun,nuJw,n'jooh,nᵘjü,opposite,,
nujwXr,compound noun,nujwXr,n'chooh-zhur,nᵘčü-žur,indifference,,
nuJy,compound noun,nuJy,n'jee,nᵘjē,perfection,,
nukalx,compound noun,nukAx,n'kalsh,nᵘkalš,loan,,
nukam,compound noun,nukam,n'kam,nᵘkam,assistance,,
nukoyjsr,compound noun,nukZjsr,n'kiich-sur,nᵘkīč-sur,"guard, shield",,
nukr,compound noun,nukr,n'kur,nᵘkur,question,,
nuky,compound noun,nuky,n'kee,nᵘkē,cuteness,,
Nul,noun,NU,ngul,ŋul,archaen,biology,science
nul,noun,nU,nul,nul,amount,,
nulaw,compound noun,nulC,n'lauw,nᵘlow,control,,
nulawsr,compound noun,nulCsr,n'lauw-sur,nᵘlow-sur,controller (thing controlling),,
nulD,noun,nUD,nuldz,nulẓ,ceiling,,
nulf,noun,nUf,nulf,nulf,folder,,
nulHy,compound noun,nUHy,nul-khhee,nul-ħē,least,,
Nuln,verb,NUn,nguln,ŋuln,"concentrate-on, focus-on",,
nuln,noun,nUn,nuln,nuln,vest,,
nulr,compound noun,nulr,n'lur,nᵘlur,conversation,,
nulTy,compound noun,nUTy,nul-tsee,nul-ṣē,most,,
nulw,compound noun,nulw,n'looh,nᵘlü,"inside, interior",,
nulwj,compound noun,nulwj,n'loohch,nᵘlüč,"exterior, outside",,
nulwYijzy,compound noun,nulwYijzy,n'looh-yihch-zee,nᵘlü-yič-zē,region between,,
nulx,verb,nUx,nulsh,nulš,recruit,,
nuly,compound noun,nuly,n'lee,nᵘlē,verb,,
nulz,verb,nUz,nulz,nulz,learn,,
num,noun,num,nuhm,num,individuality,,
numalksr,compound noun,numAksr,n'malk-sur,nᵘmalk-sur,swing,,
numcf,compound noun,numcf,n'muof,nᵘmøf,diet,,
numglk,compound noun,numGk,n'mohlk,nᵘmōlk,force,,
numoQ,compound noun,numoQ,n'modth,nᵘmoð,birth,,
numu,compound noun,numu,n'muh,nᵘmu,conjunction,,
numwksr,compound noun,numwksr,n'moohk-sur,nᵘmük-sur,"arrow, pointer",,
numwsr,compound noun,numwsr,n'mooh-sur,nᵘmü-sur,owner,,
numyTsr,compound noun,numyTsr,n'meets-sur,nᵘmēṣ-sur,"lever, switch",,
nun,noun,nun,nuhn,nun,"abnormality, unusualness",,
NuN,noun,NuN,nguhng,ŋuŋ,bell,,
Nun,noun,Nun,nguhn,ŋun,disposability,,
nunaz,compound noun,nunaz,n'naz,nᵘnaz,"identity, self-identification",,
nuncp,compound noun,nuncp,n'nuop,nᵘnøp,"cap, limitation",,
nungrXsr,compound noun,nunbXsr,n'noarzh-sur,nᵘnōrž-sur,"pupil, student",,
nunilH,compound noun,nunIH,n'nilkhh,nᵘnilħ,resentment,,
nunir,compound noun,nunV,n'neer,nᵘnēr,dominance,,
nunirfsr,compound noun,nunVfsr,n'neerf-sur,nᵘnērf-sur,sticker,,
nunirsr,compound noun,nunVsr,n'neer-sur,nᵘnēr-sur,"king, queen, ruler",,
nunJw,compound noun,nunJw,nuhn-jooh,nun-jü,normalcy,,
nunr,compound noun,nunr,n'nur,nᵘnur,possibility,,
nunrm Rw,compound noun,nunrm Rw,n'nurm rooh,nᵘnurm rü,revolution,,
nunrmsr,compound noun,nunrmsr,n'nurm-sur,nᵘnurm-sur,satellite,,
nunwsr,compound noun,nunwsr,n'nooh-sur,nᵘnü-sur,controller (thing in charge),,
nunyN,compound noun,nunyN,n'neeng,nᵘnēŋ,"cross, intersection",,
nuNyq,compound noun,nuNyq,n'ngeeth,nᵘŋēθ,"assembly, gathering",,
nupaw,compound noun,nupC,n'pauw,nᵘpow,communication,,
nupeln,compound noun,nupEn,n'peln,nᵘpeln,scanner,,
nupglp,compound noun,nupGp,n'pohlp,nᵘpōlp,punishment,,
nupu,compound noun,nupu,n'puh,nᵘpu,the past,,
nupw,compound noun,nupw,n'pooh,nᵘpü,target,,
nupwj,compound noun,nupwj,n'poohch,nᵘpüč,"origin, source",,
nuQ,noun,nuQ,nuhdth,nuð,"comp. program, instructions",,
nuQaw,compound noun,nuQC,n'dthauw,nᵘðow,similarity,,
nuQawj,compound noun,nuQCj,n'dthauwch,nᵘðowč,"deviation, difference",,
nuQawJy,compound noun,nuQCJy,n'dthauw-jee,nᵘðow-jē,equality,,
nuqex,compound noun,nuqex,n'thehsh,nᵘθeš,plan,,
nuqils,compound noun,nuqIs,n'thils,nᵘθils,container,,
nuQix,compound noun,nuQix,n'dthihsh,nᵘðiš,"greetings, hello",,
nuQr,compound noun,nuQr,n'dthur,nᵘður,exponent,,
nuqrn,compound noun,nuqrn,n'thurn,nᵘθurn,in-character,,
nuQrp,compound noun,nuQrp,n'dthurp,nᵘðurp,acceleration,,
nuqu,compound noun,nuqu,n'thuh,nᵘθu,"now, the present time",,
nuqwjsr,compound noun,nuqwjsr,n'thoohch-sur,nᵘθüč-sur,"germ, infectious agent",,
nuQyj,compound noun,nuQyj,n'dtheech,nᵘðēč,"client, end-user, receiver",,
nuRalf,compound noun,nuRAf,n'ralf,nᵘralf,"exhibit, presentation",,
nuRalfsr,compound noun,nuRAfsr,n'ralf-sur,nᵘralf-sur,"display, monitor, screen",,
nuRi,compound noun,nuRi,n'rih,nᵘri,proximity,,
nuRoqsr,compound noun,nuRoqsr,n'roth-sur,nᵘroθ-sur,"disciple, follower",,
nuRorn,compound noun,nuRSn,n'rarn,nᵘrarn,maintenance,,
nuRul,compound noun,nuRU,n'rul,nᵘrul,"attempt, shot, try",,
nuRw,compound noun,nuRw,n'rooh,nᵘrü,number one (etc.),,
nusim,compound noun,nusim,n'sihm,nᵘsim,"faith, trust",,
nusr,compound noun,nusr,n'sur,nᵘsur,operator,,
nusu,compound noun,nusu,n'suh,nᵘsu,set,,
nusuj,compound noun,nusuj,n'suhch,nᵘsuč,member,,
nusy,compound noun,nusy,n'see,nᵘsē,worthlessness,,
nuTiTsr,compound noun,nuTiTsr,n'tsihts-sur,nᵘṣiṣ-sur,rattle,,
nuTolm,compound noun,nuTOm,n'tsallm,nᵘṣolm,preference,,
